pond,id,abnormal,hetero,road,oil
K46,E091,0,1.27528466,0,0
K46,E101,0,0.63764233,0,0
K46,E111,0,1.27528466,0,0
K46,E131,0,0.63764233,0,0
K46,E1511,0,0.63764233,0,0
K46,E1521,0,0.956463495,0,0
K46,E161,0,0.956463495,0,0
K46,E171,0,0.318821165,0,0
K46,E181,0,0.956463495,0,0
K46,E191,0,1.27528466,0,0
K46,E201,0,0.341900419,0,0
K46,E211,0,0.63764233,0,0
K46,E320,0,0.956463495,0,0
K46,E330,1,0.63764233,0,0
K46,E340,1,0.63764233,0,0
K46,E400,1,0.956463495,0,0
K46,E430,1,0.366019346,0,0
K46,E450,1,0.318821165,0,0
K47,E011,0,1.27528466,0,0
K47,E021,0,1.594105825,0,0
K47,E031,0,1.594105825,0,0
K47,E041,0,1.27528466,0,0
K47,E051,0,1.594105825,0,0
K47,E061,0,0.63764233,0,0
K47,E071,0,1.27528466,0,0
K47,E081,0,0.63764233,0,0
K47,E090,1,1.27528466,0,0
K47,E101,0,1.27528466,0,0
K47,E111,0,1.594105825,0,0
K47,E121,0,0.956463495,0,0
K47,E131,0,0.63764233,0,0
K47,E141,0,1.27528466,0,0
K47,E151,0,0.63764233,0,0
K47,E161,0,0.318821165,0,0
K47,E171,0,0.63764233,0,0
K47,E181,0,0.540406646,0,0
K47,E190,1,0.956463495,0,0
K47,E201,0,0.956463495,0,0
K47,E211,0,0.63764233,0,0
K47,E221,0,0.956463495,0,0
K47,E231,0,1.27528466,0,0
K47,E241,0,0.956463495,0,0
K47,E251,0,0.956463495,0,0
K47,E350,1,1.27528466,0,0
K47,E410,1,0.63764233,0,0
K47,E540,1,0.318821165,0,0
K47,E920,1,1.594105825,0,0
K47,E940,1,0.63764233,0,0
K55,E011,0,1.594105825,0,0
K55,E021,0,1.27528466,0,0
K55,E031,0,0.956463495,0,0
K55,E041,0,0.956463495,0,0
K55,E051,0,1.27528466,0,0
K55,E061,0,0.956463495,0,0
K55,E071,0,0.956463495,0,0
K55,E081,0,1.594105825,0,0
K55,E091,0,0.956463495,0,0
K55,E101,0,0.63764233,0,0
K55,E111,0,0.318821165,0,0
K55,E121,0,0.956463495,0,0
K55,E131,0,0.956463495,0,0
K55,E141,0,0.956463495,0,0
K55,E151,0,1.594105825,0,0
K55,E161,0,1.91292699,0,0
K55,E170,1,1.594105825,0,0
K55,E181,0,1.594105825,0,0
K55,E191,0,0.956463495,0,0
K55,E201,0,1.27528466,0,0
K55,E211,0,1.91292699,0,0
K55,E221,0,1.27528466,0,0
K55,E231,0,1.594105825,0,0
K55,E241,0,1.27528466,0,0
K55,E251,0,0.956463495,0,0
K55,E261,0,1.27528466,0,0
K55,E271,0,1.594105825,0,0
K55,E281,0,0.956463495,0,0
K55,E380,1,0.956463495,0,0
K55,E390,1,0.956463495,0,0
K56,E031,0,0.427862056,0,0
K56,E041,0,0.63764233,0,0
K56,E051,0,1.27528466,0,0
K56,E071,0,1.91292699,0,0
K56,E081,0,0.956463495,0,0
K56,E101,0,0.956463495,0,0
K56,E111,0,1.27528466,0,0
K56,E121,0,1.27528466,0,0
K56,E131,0,0.956463495,0,0
K56,E141,0,1.27528466,0,0
K56,E151,0,0.956463495,0,0
K56,E161,0,0.956463495,0,0
K56,E171,0,1.283586169,0,0
K56,E181,0,0.63764233,0,0
K56,E191,0,0.63764233,0,0
K56,E201,0,0.956463495,0,0
K56,E211,0,0.956463495,0,0
K56,E221,0,0.830122868,0,0
K56,E231,0,0.956463495,0,0
K56,E241,0,1.91292699,0,0
K56,E251,0,0.956463495,0,0
K56,E261,0,1.245184303,0,0
K56,E271,0,1.245184303,0,0
K95,E011,0,0.956463495,1,0
K95,E021,0,1.27528466,1,0
K95,E031,0,0.318821165,1,0
K95,E041,0,1.594105825,1,0
K95,E051,0,0.63764233,1,0
K95,E061,0,1.594105825,1,0
K95,E071,0,0.318821165,1,0
K95,E081,0,1.27528466,1,0
K95,E091,0,1.594105825,1,0
K95,E101,0,0.63764233,1,0
K95,E111,0,0.956463495,1,0
K95,E121,0,0.956463495,1,0
K95,E131,0,0.415061434,1,0
K95,E141,0,0.956463495,1,0
K95,E151,0,0.956463495,1,0
K95,E161,0,1.594105825,1,0
K95,E171,0,0.956463495,1,0
K95,E191,0,1.91292699,1,0
K95,E201,0,0.318821165,1,0
K95,E211,0,0.830122868,1,0
K95,E221,0,1.27528466,1,0
K95,E231,0,1.163814179,1,0
K95,E241,0,1.27528466,1,0
K95,E251,0,0.956463495,1,0
K95,E261,0,0.63764233,1,0
K95,E271,0,0.956463495,1,0
K95,E281,0,1.27528466,1,0
K95,E290,1,0.63764233,1,0
K95,E300,1,0.956463495,1,0
K97,E001,0,0.63764233,1,0
K97,E011,0,1.27528466,1,0
K97,E021,0,0.956463495,1,0
K97,E031,0,1.080813291,1,0
K97,E041,0,1.594105825,1,0
K97,E051,0,0.318821165,1,0
K97,E061,0,0.956463495,1,0
K97,E071,0,0.956463495,1,0
K97,E081,0,1.27528466,1,0
K97,E091,0,0.956463495,1,0
K97,E101,0,1.594105825,1,0
K97,E111,0,1.27528466,1,0
K97,E121,0,0.63764233,1,0
K97,E131,0,1.245184303,1,0
